market_slug,condition_id,outcome,asset_id,window_start_ms,window_end_ms,high,low,last_price,last_update_ms
btc-updown-5m-1771326900,0x53bdd47025d9d5724824257fdf103f5f7466a1c650feba6318b2a240e651a471,Down,99389951751775542431619125502680560860027362278528033460391277408824234081122,1771326600000,1771326900000,0.51,0.495,0.51,1771326899936
btc-updown-5m-1771326900,0x53bdd47025d9d5724824257fdf103f5f7466a1c650feba6318b2a240e651a471,Up,20215217848816525722930320609372211727714062429270937669400892058006212066846,1771326600000,1771326900000,0.51,0.495,0.5,1771326899905
btc-updown-5m-1771327200,0x7023e59eb991ad6bd9b2262876f50125de57e59320041467f87eb4b8eb3a7770,Up,9598435355480267239701968616184870144028902501325587518464319611842391377909,1771326900000,1771327200000,0.61,0.505,0.55,1771327199888
btc-updown-5m-1771327200,0x7023e59eb991ad6bd9b2262876f50125de57e59320041467f87eb4b8eb3a7770,Down,90473251918366255678453358430142744839966461048838501568900755340616122809121,1771326900000,1771327200000,0.5,0.39,0.48,1771327199910
